ID,Frequency,InstlmentMode,LoanStatus,PaymentMode,BranchID,Area,Tenure,AssetCost,AmountFinance,DisbursalAmount,EMI,DisbursalDate,MaturityDAte,AuthDate,AssetID,ManufacturerID,SupplierID,LTV,SEX,AGE,MonthlyIncome,City,State,ZiPCODE,Top-up Month
825,Quatrly,Arrear,Closed,PDC_E,38,NELLORE,36,630980,480000,480000,52840,31-12-2012,05-01-2016,31-12-2012,8396244,1060,67904,67.7,M,37,33333.33,CUDDAPAH,ANDHRA PRADESH,516309, > 48 Months
827,Quatrly,Arrear,Closed,ECS,38,NELLORE,36,575000,297000,297000,32546,01-06-2013,05-06-2016,01-06-2013,10835996,1568,72532,45.99,M,49,33333.33,CUDDAPAH,ANDHRA PRADESH,516360,No Top-up Service
828,Quatrly,Arrear,Closed,ECS,38,NELLORE,36,607700,401457,401457,43090,26-06-2013,05-07-2016,26-06-2013,11219854,1046,29587,58.97,F,26,16666.67,CUDDAPAH,ANDHRA PRADESH,516001,No Top-up Service
829,Quatrly,Arrear,Closed,Billed,38,NELLORE,36,601500,480000,480000,53680,21-08-2013,10-08-2016,21-08-2013,12181752,1046,29587,70.88,M,28,25000,CUDDAPAH,ANDHRA PRADESH,516127,No Top-up Service
830,Monthly,Arrear,Closed,PDC,38,NELLORE,24,565500,402037,402037,16755,31-08-2013,05-09-2015,31-08-2013,12379334,1046,29587,71.09,F,43,16666.67,CUDDAPAH,ANDHRA PRADESH,516101,No Top-up Service
831,Quatrly,Arrear,Closed,ECS,38,NELLORE,48,600000,485526,485526,43719,04-02-2016,05-02-2020,04-02-2016,18918031,1046,29587,73.63,M,45,25000,CUDDAPAH,ANDHRA PRADESH,516152,No Top-up Service
832,Quatrly,Arrear,Closed,Direct Debit,38,NELLORE,36,600000,461974,461974,50954,13-04-2016,10-04-2019,13-04-2016,19825836,1046,29587,77,M,35,25000,CUDDAPAH,ANDHRA PRADESH,516126,No Top-up Service
837,Half Yearly,Arrear,Closed,PDC,40,HYDERABAD BEGUMPET,234,500000,350000,350000,61690,31-03-2012,15-12-2015,31-03-2012,4666998,1060,23549,70,M,48,14416.67,HYDERABAD,ANDHRA PRADESH,500088,No Top-up Service
838,Quatrly,Arrear,Closed,Billed,41,KARIMNAGAR,48,477742,340000,340000,31705,09-03-2010,20-02-2014,09-03-2010,454617,1187,89813,64.53,M,32,47083.33,,ANDHRA PRADESH,505001, > 48 Months
839,Quatrly,Arrear,Closed,Billed,41,KARIMNAGAR,36,643687,450000,450000,51845,28-05-2010,20-05-2013,31-05-2010,507239,1187,89813,61.86,M,41,25916.67,,ANDHRA PRADESH,505530,No Top-up Service
840,Monthly,Arrear,Closed,PDC,41,KARIMNAGAR,36,468651,340000,340000,12775,31-05-2010,20-05-2013,04-06-2010,510612,1187,89813,69.82,M,23,15000,,ANDHRA PRADESH,505001,No Top-up Service
841,Monthly,Arrear,Closed,Billed,41,KARIMNAGAR,48,575409,404681,404681,38000,31-12-2011,10-12-2015,31-12-2011,3562676,1187,89813,70.33,M,37,25000,KARIMNAGAR,ANDHRA PRADESH,505445,No Top-up Service
842,Monthly,Arrear,Closed,PDC_E,41,KARIMNAGAR,24,774559,550000,550000,27750,28-06-2012,05-07-2014,28-06-2012,5777037,1187,89813,67.43,,,,KARIMNAGAR,ANDHRA PRADESH,505001,18-24 Months
849,Quatrly,Arrear,Closed,ECS,46,MIRYALGUDA,36,515000,340000,340000,37650,04-08-2014,05-08-2017,05-08-2014,13954533,1060,23549,58.71,M,44,8333.33,NALGONDA,ANDHRA PRADESH,508001,No Top-up Service
850,Quatrly,Arrear,Closed,PDC,46,MIRYALGUDA,48,790000,582717,582717,50000,30-06-2015,10-06-2019,30-06-2015,16165779,1187,23740,73.76,M,28,29166.67,NALGONDA,ANDHRA PRADESH,508255, > 48 Months
851,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,406275,275000,275000,30830,25-02-2010,20-02-2013,25-02-2010,443662,1046,20060,60.1,M,50,22500,,ANDHRA PRADESH,524004,No Top-up Service
852,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,1360000,700000,700000,79550,25-02-2010,20-01-2013,26-02-2010,444005,1187,23667,45.62,M,59,50875,,ANDHRA PRADESH,524421, > 48 Months
853,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,1360000,800000,800000,90870,09-03-2010,10-02-2013,09-03-2010,454970,1187,23667,52.14,M,45,73187.5,,ANDHRA PRADESH,524134,No Top-up Service
854,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,1360000,800000,800000,90870,25-03-2010,05-03-2013,25-03-2010,469485,1187,23667,52.14,M,40,82000,,ANDHRA PRADESH,524305,No Top-up Service
855,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,1360000,800000,800000,90870,26-03-2010,05-03-2013,26-03-2010,470064,1187,23667,52.14,M,26,64666.67,,ANDHRA PRADESH,524201, > 48 Months
856,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,442500,250000,250000,28000,20-12-2010,15-12-2013,24-12-2010,955953,1062,27328,50.17,M,33,13616.67,,ANDHRA PRADESH,524101,No Top-up Service
857,Monthly,Arrear,Closed,PDC,47,NELLORE,36,600409,400000,400000,42800,10-01-2012,15-01-2015,10-01-2012,3657282,1187,23667,66.62,M,48,85666.67,NELLORE,ANDHRA PRADESH,524126, > 48 Months
858,Monthly,Arrear,Closed,PDC,340,NELLORE,36,557400,350000,350000,38850,14-02-2012,15-02-2015,14-02-2012,4070725,1062,30977,62.79,M,40,41479.17,CHITTOOR,ANDHRA PRADESH,517619,No Top-up Service
859,Quatrly,Arrear,Closed,ECS Reject,340,NELLORE,36,547400,421402,421402,47300,25-03-2014,10-03-2017,25-03-2014,13445669,1062,30977,76.98,M,22,47916.67,CHITTOOR,ANDHRA PRADESH,517642,No Top-up Service
860,Quatrly,Arrear,Closed,Billed,48,NIZAMABAD,48,525000,350000,350000,31940,30-09-2010,15-09-2014,08-10-2010,657463,1062,25475,60.58,M,33,38750,,ANDHRA PRADESH,504001,No Top-up Service
861,Half Yearly,Arrear,Closed,PDC,48,NIZAMABAD,36,600000,400000,400000,88700,19-02-2013,10-01-2016,19-02-2013,9107043,1046,21305,51.88,F,24,16666.67,NIZAMABAD,ANDHRA PRADESH,503003,No Top-up Service
868,Quatrly,Arrear,Closed,Billed,53,VIJAYAWADA,36,580000,450000,450000,51560,26-02-2010,21-02-2013,26-02-2010,445535,1187,23806,68.7,M,22,42333.33,KRISHNA,ANDHRA PRADESH,521185,No Top-up Service
869,Quatrly,Arrear,Closed,Billed,53,VIJAYAWADA,36,600000,400000,400000,46085,26-02-2010,18-02-2013,26-02-2010,445435,1187,23806,58.99,M,62,35250,,ANDHRA PRADESH,521402, > 48 Months
870,Monthly,Arrear,Closed,Billed,53,VIJAYAWADA,29,870000,590000,590000,26700,07-06-2010,19-10-2012,09-06-2010,513299,1187,23806,64.75,M,26,94166.67,,ANDHRA PRADESH,521228,No Top-up Service
871,Quatrly,Arrear,Closed,Billed,53,VIJAYAWADA,24,600000,250000,250000,38594,28-12-2010,05-01-2013,28-12-2010,1010298,1187,23806,35.23,M,24,12500,,ANDHRA PRADESH,520001,No Top-up Service
872,Quatrly,Arrear,Closed,Billed,53,VIJAYAWADA,33,450000,290000,290000,61200,31-01-2011,15-10-2013,31-01-2011,1126513,1046,22863,64.44,M,39,25000,,ANDHRA PRADESH,520001,No Top-up Service
873,Half Yearly,Arrear,Closed,Billed,53,VIJAYAWADA,24,520000,250000,250000,78750,28-02-2011,05-03-2013,28-02-2011,1185415,1186,28810,32.93,M,54,208333.33,,ANDHRA PRADESH,521110,No Top-up Service
874,Monthly,Advance,Closed,Billed,53,VIJAYAWADA,30,655000,500000,500000,20404,23-10-2011,15-03-2014,23-10-2011,2809051,1187,21559,73.22,M,43,29166.67,WEST GODAVARI,ANDHRA PRADESH,534447,No Top-up Service
875,Monthly,Arrear,Closed,Billed,53,VIJAYAWADA,36,662500,550000,550000,61508,24-10-2011,15-10-2014,24-10-2011,2821490,1187,21559,83.02,F,41,25000,WEST GODAVARI,ANDHRA PRADESH,534318,No Top-up Service
876,Monthly,Arrear,Closed,Direct Debit,54,VISHAKHAPATNAM,24,995000,718000,718000,35411,31-07-2018,05-08-2020,31-07-2018,30616419,1187,25945,72.16,,,,VISAKHAPATNAM,ANDHRA PRADESH,530002,No Top-up Service
877,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,35,471000,300000,300000,11530,22-03-2010,10-02-2013,22-03-2010,466059,1046,22487,61.25,M,39,35250,,ANDHRA PRADESH,530001,No Top-up Service
878,Quatrly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,440000,315000,315000,35310,28-08-2010,15-08-2013,30-08-2010,575348,1186,23429,63.57,M,42,25000,,ANDHRA PRADESH,532404,No Top-up Service
879,Quatrly,Arrear,Closed,PDC,54,VISHAKHAPATNAM,24,638503,300000,300000,46125,15-09-2010,05-09-2012,17-09-2010,607589,1187,25945,39.76,M,46,37916.67,,ANDHRA PRADESH,531126,No Top-up Service
880,Quatrly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,504000,250000,250000,27708,26-10-2010,01-11-2013,28-10-2010,731246,1046,22487,44.11,M,36,16666.67,,ANDHRA PRADESH,531036,No Top-up Service
881,Quatrly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,504000,270000,270000,29925,25-11-2010,15-11-2013,29-11-2010,836431,1046,22487,47.63,M,32,20833.33,,ANDHRA PRADESH,530001, > 48 Months
882,Quatrly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,480000,252133,252133,27945,24-12-2010,01-12-2013,27-12-2010,991110,1046,21515,46.71,M,32,22500,,ANDHRA PRADESH,530001, > 48 Months
883,Quatrly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,48,480000,373053,373053,33574,31-12-2010,05-01-2015,31-12-2010,1008521,1046,21515,70.72,M,31,22500,,ANDHRA PRADESH,530001,No Top-up Service
884,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,480000,353965,353965,13080,28-01-2011,05-02-2014,28-01-2011,1119549,1046,21713,71.02,M,41,20000,,ANDHRA PRADESH,530001,No Top-up Service
885,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,504000,250000,250000,8820,26-02-2011,01-03-2014,26-02-2011,1178369,1046,22487,47.85,M,30,30000,,ANDHRA PRADESH,531023,No Top-up Service
886,Quatrly,Arrear,Closed,PDC,54,VISHAKHAPATNAM,36,498000,300000,300000,32125,01-03-2011,05-03-2014,01-03-2011,1199856,1046,22487,53.79,M,29,30000,,ANDHRA PRADESH,531025, > 48 Months
887,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,24,625000,252434,252434,12464,27-03-2011,15-03-2013,27-03-2011,1280128,1187,30863,38.4,M,40,20000,,ANDHRA PRADESH,535547, > 48 Months
888,Quatrly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,430000,332569,332569,37275,31-03-2011,01-04-2014,31-03-2011,1310746,1062,21927,68.67,M,33,20000,,ANDHRA PRADESH,535522,No Top-up Service
889,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,12,681000,100000,100000,8958,23-04-2011,15-04-2012,23-04-2011,1397435,1187,25945,13.37,M,18,30000,,ANDHRA PRADESH,531116,No Top-up Service
890,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,36,509650,250000,250000,8819,30-05-2011,01-06-2014,30-05-2011,1591081,1046,22487,47.32,M,27,25000,,ANDHRA PRADESH,531036,No Top-up Service
891,Monthly,Arrear,Closed,PDC,54,VISHAKHAPATNAM,36,509650,325000,325000,34721,30-05-2011,01-06-2014,30-05-2011,1591501,1046,22487,63.77,M,28,20000,,ANDHRA PRADESH,531001,No Top-up Service
892,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,48,512710,350000,350000,29750,29-06-2011,05-07-2015,29-06-2011,1777540,1046,22487,68.26,M,27,9500,VISAKHAPATNAM,ANDHRA PRADESH,531027, > 48 Months
893,Monthly,Arrear,Closed,Billed,54,VISHAKHAPATNAM,48,518850,350000,350000,29943,12-08-2011,10-08-2015,12-08-2011,2116678,1046,22487,67.46,M,35,13333.33,VISAKHAPATNAM,ANDHRA PRADESH,531115, > 48 Months
894,Monthly,Arrear,Active,PDC_E,54,VISHAKHAPATNAM,36,757000,500000,500000,17972,31-03-2012,01-04-2015,31-03-2012,4681906,1187,25945,63.68,,,,VISAKHAPATNAM,ANDHRA PRADESH,531031,No Top-up Service
895,Quatrly,Arrear,Closed,PDC,54,VISHAKHAPATNAM,48,570000,453735,453735,39780,31-10-2015,05-11-2019,31-10-2015,17662759,1060,24059,72.62,M,42,16666.67,VISAKHAPATNAM,ANDHRA PRADESH,531027,No Top-up Service
896,Monthly,Arrear,Closed,Direct Debit,54,VISHAKHAPATNAM,24,937000,718000,718000,35411,31-07-2018,05-08-2020,31-07-2018,30615565,1187,25945,76.63,,,,VISAKHAPATNAM,ANDHRA PRADESH,530002,No Top-up Service
1155,Monthly,Arrear,Closed,Billed,85,MIRYALGUDA,32,470000,300000,300000,65530,16-05-2011,05-01-2014,16-05-2011,1516055,1060,28291,63.83,M,31,18333.33,,ANDHRA PRADESH,508001,No Top-up Service
1156,Monthly,Arrear,Closed,Billed,85,MIRYALGUDA,45,545000,400000,400000,72500,23-12-2011,15-09-2015,23-12-2011,3457455,1062,58416,73.39,M,21,22466.67,NALGONDA,ANDHRA PRADESH,508233,No Top-up Service
1157,Monthly,Arrear,Closed,Billed,85,MIRYALGUDA,23,478000,250000,250000,12610,08-07-2011,01-06-2013,08-07-2011,1839633,1046,32708,52.3,M,44,20000,KHAMMAM,ANDHRA PRADESH,507002,No Top-up Service
1158,Monthly,Arrear,Closed,PDC,85,MIRYALGUDA,32,510000,303856,303856,66370,28-04-2012,15-12-2014,28-04-2012,4986602,1060,23549,59.58,M,40,11250,NALGONDA,ANDHRA PRADESH,508126,No Top-up Service
1159,Quatrly,Arrear,Closed,Billed,85,MIRYALGUDA,48,610625,450000,450000,41910,23-02-2010,10-02-2014,23-02-2010,441607,1187,23740,66.83,M,53,11200,,ANDHRA PRADESH,508114,No Top-up Service
1160,Quatrly,Arrear,Closed,Billed,85,MIRYALGUDA,36,1330000,800000,800000,89670,15-04-2010,20-03-2013,15-04-2010,487553,1187,23740,53.41,M,38,67583.33,,ANDHRA PRADESH,508201, > 48 Months
1161,Quatrly,Arrear,Closed,Billed,85,MIRYALGUDA,36,626625,400000,400000,44835,30-07-2010,01-07-2013,30-07-2010,551275,1187,23740,56.68,M,39,16666.67,,ANDHRA PRADESH,508001,No Top-up Service
1162,Quatrly,Arrear,Closed,Billed,85,MIRYALGUDA,33,450000,275000,275000,60065,24-09-2010,15-06-2013,30-09-2010,628901,1060,23549,47.76,M,25,16666.67,,ANDHRA PRADESH,508002, > 48 Months
1163,Quatrly,Arrear,Closed,Billed,85,MIRYALGUDA,36,506000,250000,250000,26765,12-01-2011,05-12-2013,12-01-2011,1110684,1187,23740,44.12,M,51,11666.67,,ANDHRA PRADESH,508001,No Top-up Service
1164,Quatrly,Arrear,Closed,Billed,85,MIRYALGUDA,24,1393970,650000,650000,99125,27-01-2011,15-01-2013,27-01-2011,1120281,1187,23740,39.52,M,43,35000,,ANDHRA PRADESH,508001, > 48 Months
1165,Half Yearly,Arrear,Closed,Billed,85,MIRYALGUDA,48,635956,450000,450000,79875,08-02-2011,15-10-2014,08-02-2011,1139477,1046,49107,58.2,M,36,20416.67,,ANDHRA PRADESH,508254,No Top-up Service
1166,Monthly,Arrear,Closed,Billed,85,MIRYALGUDA,24,460000,250000,250000,73625,21-04-2011,15-04-2013,21-04-2011,1388870,1060,23549,54.35,M,48,28750,,ANDHRA PRADESH,508001,No Top-up Service
1167,Quatrly,Arrear,Closed,PDC,85,MIRYALGUDA,48,520000,402037,402037,36002,12-02-2013,05-01-2017,12-02-2013,9007808,1060,23549,70.39,M,32,31026,NALGONDA,ANDHRA PRADESH,508201, > 48 Months
1168,Half Yearly,Arrear,Closed,PDC,46,MIRYALGUDA,180,770000,483214,483214,84565,18-02-2013,05-11-2016,18-02-2013,9099484,1187,23740,62.76,M,37,97166.67,NALGONDA,ANDHRA PRADESH,508001,No Top-up Service
1169,Monthly,Arrear,Closed,ECS,46,MIRYALGUDA,23,812506,650000,650000,33945,14-10-2013,10-09-2015,14-10-2013,12854178,1187,23740,75.82,,,,NALGONDA,ANDHRA PRADESH,508116,No Top-up Service
1170,Quatrly,Arrear,Closed,PDC,46,MIRYALGUDA,48,550000,370000,370000,33518,18-03-2014,10-02-2018,18-03-2014,13419036,1046,23549,61.18,M,38,20833.33,NALGONDA,ANDHRA PRADESH,508001,No Top-up Service
1172,Quatrly,Arrear,Closed,Billed,91,MIRYALGUDA,24,617752,350000,350000,53815,05-03-2010,25-02-2012,05-03-2010,451754,1187,23740,47.95,M,55,58125,,ANDHRA PRADESH,507203,No Top-up Service
1173,Half Yearly,Arrear,Closed,ECS,93,NELLORE,48,560000,433081,433081,76550,16-03-2015,10-03-2019,16-03-2015,15179575,1060,100618,77.34,M,39,48833.33,PRAKASAM,ANDHRA PRADESH,523001,No Top-up Service
1174,Quatrly,Arrear,Closed,Billed,47,NELLORE,36,460000,300000,300000,35315,12-04-2010,10-03-2013,20-04-2010,485007,1187,22171,57.54,M,33,46166.67,,ANDHRA PRADESH,523001,No Top-up Service
1175,Quatrly,Arrear,Closed,Auto Debit,93,NELLORE,48,500000,422123,422123,37500,01-09-2015,10-09-2019,03-09-2015,16899585,1046,28301,84.42,M,33,42500,PRAKASAM,ANDHRA PRADESH,523001,No Top-up Service
1176,Quatrly,Arrear,Closed,ECS Reject,93,NELLORE,36,500000,421451,421451,45600,23-09-2015,10-09-2018,23-09-2015,17117961,1046,28301,84.29,M,25,39166.67,PRAKASAM,ANDHRA PRADESH,523001,No Top-up Service
1177,Quatrly,Arrear,Closed,ECS,93,NELLORE,51,500000,406588,406588,35700,16-04-2016,10-07-2020,16-04-2016,19862895,1046,28301,81.32,M,48,43333.33,PRAKASAM,ANDHRA PRADESH,523211,No Top-up Service
1181,Monthly,Arrear,Closed,Billed,47,NELLORE,36,455875,320000,320000,11890,18-09-2010,15-09-2013,21-09-2010,614786,1046,27845,67.59,M,34,50000,,ANDHRA PRADESH,517520,No Top-up Service
1182,Quatrly,Arrear,Closed,PDC,130,RAJAHMUNDRY,12,503396,100000,100000,28125,10-02-2010,03-02-2011,11-02-2010,429387,1187,24312,14.28,M,44,15000,,ANDHRA PRADESH,533431,No Top-up Service
1183,Half Yearly,Arrear,Closed,Billed,130,RAJAHMUNDRY,48,512000,325000,325000,57200,16-02-2011,05-01-2015,16-02-2011,1153930,1046,22487,52.3,M,46,19166.67,,ANDHRA PRADESH,533449,No Top-up Service
1184,Monthly,Arrear,Closed,Billed,130,RAJAHMUNDRY,36,519412,300000,300000,65975,23-05-2011,15-05-2014,23-05-2011,1555007,1046,22487,57.76,M,60,81500,,ANDHRA PRADESH,533294,No Top-up Service
1185,Quatrly,Arrear,Closed,ECS,130,RAJAHMUNDRY,48,495000,401798,401798,34313,13-10-2016,10-10-2020,13-10-2016,22164333,1187,104121,74.24,M,25,41666.67,EAST GODAVARI,ANDHRA PRADESH,533274,30-36 Months
1188,Quatrly,Arrear,Closed,Billed,133,VIJAYAWADA,36,493000,300000,300000,34375,19-02-2010,12-02-2013,19-02-2010,437413,1187,20890,53.88,M,45,69166.67,,ANDHRA PRADESH,522647,No Top-up Service
1189,Quatrly,Arrear,Closed,Billed,133,VIJAYAWADA,24,443000,250000,250000,38440,21-04-2010,19-04-2012,21-04-2010,491840,1187,20890,47.76,M,26,35833.33,,ANDHRA PRADESH,522436,No Top-up Service
